place;prenom
PLACE_1;PLACE_13;Messaoud;moussa13
PLACE_2;PLACE_7;Nacim;moussa7
PLACE_3;PLACE_2;Tina;moussa2
PLACE_4;PLACE_5;Lorena;moussa5
PLACE_5;PLACE_1;Amelie;moussa1
PLACE_6;PLACE_11;Abdel-Karim;moussa11
PLACE_7;PLACE_6;Empty;moussa6
PLACE_8;PLACE_4;Simon;moussa4
PLACE_9;PLACE_3;Selim;moussa3
PLACE_10;PLACE_15;Jeremy;moussa15
PLACE_11;PLACE_9;Mathilde;moussa9
PLACE_12;place;prenom;nom
PLACE_13;PLACE_14;Farid;moussa14
PLACE_14;PLACE_8;Ricky;moussa8
PLACE_15;PLACE_12;Florent;moussa12
PLACE_16;PLACE_10;Lyess;moussa10
